train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.887774,0.680716,0.982332,0.939999
0.888025,0.680933,0.982372,0.939997
0.888159,0.681113,0.982411,0.94002
0.88847,0.681264,0.982471,0.940012
0.888817,0.681193,0.982521,0.939992
0.889126,0.68138,0.982593,0.940066
0.889454,0.681487,0.982665,0.940152
0.889611,0.681623,0.982702,0.940191
0.89,0.681748,0.982778,0.940264
0.890336,0.681979,0.982843,0.940266
0.890782,0.682338,0.982921,0.940344
0.891205,0.682554,0.982979,0.940374
0.891406,0.682397,0.983016,0.940342
0.891779,0.682469,0.983096,0.940392
0.892137,0.682691,0.983153,0.940453
0.892438,0.682821,0.983202,0.940471
0.892622,0.682901,0.983238,0.940506
0.893199,0.683079,0.983344,0.940576
0.893479,0.68307,0.983403,0.940603
0.893941,0.68364,0.983492,0.94071
0.89398,0.683717,0.983503,0.940732
0.894224,0.683664,0.983547,0.940769
0.894583,0.684175,0.983611,0.94086
0.894909,0.684191,0.983672,0.940887
0.895336,0.68414,0.983756,0.940931
0.895638,0.684366,0.983827,0.940992
0.896062,0.684557,0.983889,0.941009
0.896497,0.684788,0.983962,0.941047
0.896835,0.685125,0.984025,0.941121
0.897177,0.685151,0.984101,0.9412
0.897523,0.685418,0.984153,0.941246
0.897773,0.685341,0.984213,0.941261
0.898097,0.685597,0.984285,0.941319
0.898527,0.685793,0.984345,0.941402
0.898717,0.686059,0.984384,0.941434
0.898992,0.686062,0.984438,0.941472
0.899496,0.685992,0.984513,0.941462
0.899737,0.686062,0.984557,0.941505
0.900144,0.68651,0.984612,0.941608
0.900492,0.686989,0.98469,0.941694
0.900924,0.687174,0.984786,0.941719
0.901401,0.687126,0.984843,0.941753
0.90182,0.687413,0.984916,0.941809
0.902151,0.687659,0.984967,0.941871
0.902391,0.687617,0.985013,0.941874
0.902604,0.687823,0.985053,0.94189
0.902858,0.688404,0.985092,0.941974
0.903055,0.688524,0.985124,0.942004
0.903328,0.688942,0.985164,0.942075
0.903603,0.689444,0.985199,0.94213
0.903967,0.689839,0.98526,0.942224
0.904341,0.690136,0.98533,0.942281
0.904674,0.690277,0.985378,0.942321
0.904927,0.690599,0.985438,0.942349
0.905294,0.691057,0.985506,0.942436
0.90565,0.69129,0.985559,0.942495
0.905787,0.691355,0.985578,0.942549
0.905988,0.691361,0.98561,0.942573
0.90616,0.691646,0.985644,0.942609
0.906413,0.691817,0.985685,0.94261
0.906723,0.691804,0.985736,0.942635
0.907084,0.692189,0.985786,0.942688
0.907169,0.692121,0.985803,0.942703
0.907388,0.69195,0.985842,0.94273
0.907435,0.692082,0.985854,0.942759
0.907583,0.692527,0.985876,0.942802
0.907932,0.6926,0.985938,0.942816
0.908261,0.692616,0.985998,0.942857
0.908547,0.692698,0.986043,0.942875
0.908709,0.692873,0.986069,0.942904
0.908936,0.693177,0.986107,0.942947
0.909072,0.693138,0.986138,0.942901
0.909413,0.693465,0.986196,0.942958
0.909657,0.69356,0.986239,0.942961
0.909969,0.69383,0.98629,0.943001
0.910266,0.694272,0.986341,0.943105
0.910486,0.694406,0.986385,0.943155
0.910618,0.694612,0.986404,0.943168
0.911011,0.694748,0.986479,0.943222
0.911221,0.6948,0.986514,0.943273
0.911442,0.694915,0.986559,0.943266
0.911601,0.695025,0.986582,0.943321
0.912021,0.69516,0.986646,0.943352
0.912349,0.69517,0.986705,0.943393
0.912457,0.695147,0.986723,0.943427
0.912604,0.695424,0.986752,0.943476
0.912851,0.695554,0.986804,0.943539
0.913039,0.695634,0.986834,0.943514
0.913317,0.695698,0.986888,0.943564
0.91367,0.69594,0.986946,0.943599
0.913862,0.696218,0.986978,0.943667
0.914218,0.696478,0.987043,0.943691
0.914647,0.696755,0.987119,0.94374
0.914633,0.696865,0.987122,0.943779
0.914784,0.696822,0.987152,0.943755
0.915044,0.696881,0.987193,0.943766
0.915298,0.697262,0.987239,0.943799
0.915443,0.697478,0.987267,0.943851
0.915645,0.6978,0.987309,0.943932
0.915809,0.697903,0.987338,0.943942
0.916026,0.697994,0.987387,0.943971
0.916291,0.698027,0.987426,0.943982
0.916378,0.698067,0.987441,0.944004
0.91668,0.698306,0.987492,0.944057
0.917005,0.698465,0.987539,0.944047
0.917255,0.698528,0.987581,0.944033
0.917423,0.6987,0.987606,0.944051
0.917565,0.698484,0.987637,0.944067
0.917747,0.698528,0.987668,0.944082
0.917924,0.698575,0.987698,0.944108
0.918226,0.698605,0.987751,0.944143
0.918469,0.698609,0.987781,0.944154
0.918732,0.699109,0.987827,0.944272
0.918933,0.699258,0.987864,0.944285
0.919296,0.699741,0.987927,0.944374
0.919383,0.69988,0.987945,0.944428
0.919489,0.699769,0.987962,0.944423
0.919824,0.699968,0.988015,0.944468
0.920087,0.700036,0.988053,0.944483
0.920368,0.700235,0.988096,0.944548
0.920542,0.700495,0.988128,0.94458
0.920546,0.700354,0.988132,0.944541
0.920806,0.700359,0.988174,0.944526
0.921027,0.700503,0.988211,0.94452
0.92129,0.700685,0.988266,0.944575
0.921398,0.70076,0.988284,0.944585
0.921653,0.70091,0.98833,0.944634
0.922014,0.701174,0.988389,0.944692
0.922285,0.700906,0.988429,0.944692
0.922455,0.700902,0.988466,0.944695
0.922646,0.70111,0.988494,0.944715
0.922945,0.701283,0.988542,0.944764
0.92312,0.70137,0.98857,0.944817
0.923289,0.701231,0.988603,0.944807
0.92345,0.701471,0.98863,0.94486
0.923524,0.701754,0.988646,0.944891
0.923678,0.701885,0.988677,0.94492
0.923849,0.701791,0.988702,0.94492
0.924096,0.70173,0.988744,0.944959
0.924287,0.702063,0.988775,0.945011
0.924511,0.70205,0.98882,0.945
0.924649,0.702336,0.988836,0.945058
0.92481,0.702499,0.988871,0.945084
0.924965,0.702544,0.988903,0.945077
0.925099,0.702621,0.988924,0.945094
0.92535,0.70287,0.98896,0.945142
0.925599,0.702843,0.989001,0.945115
0.925879,0.702874,0.989049,0.945123
0.926045,0.703135,0.989076,0.945174
0.926138,0.703226,0.989094,0.945178
0.926212,0.703342,0.989112,0.945189
0.926394,0.70348,0.989144,0.945226
0.926532,0.703484,0.989166,0.945207
0.926696,0.703585,0.989194,0.945221
0.92687,0.703764,0.989217,0.94528
0.927178,0.70381,0.989272,0.945334
0.927462,0.704191,0.989325,0.945436
0.927611,0.704394,0.989348,0.945477
0.92793,0.704507,0.989409,0.9455
0.928037,0.704826,0.989432,0.945544
0.928227,0.704995,0.989459,0.945576
0.928361,0.70505,0.989485,0.945606
0.928692,0.705242,0.989544,0.945621
0.92875,0.705226,0.989553,0.945638
0.928893,0.70546,0.989573,0.945698
0.929083,0.705427,0.989605,0.945704
0.929267,0.705372,0.989639,0.945702
0.929359,0.705473,0.989658,0.945702
0.929583,0.705831,0.989691,0.945714
0.929677,0.705801,0.989709,0.945709
0.929888,0.705843,0.989738,0.945742
0.929997,0.705974,0.989762,0.945757
0.930214,0.706028,0.989793,0.945795
0.930378,0.706244,0.989819,0.945803
0.930469,0.706364,0.989836,0.945837
0.930682,0.70654,0.989864,0.94585
0.930742,0.706699,0.989875,0.945867
0.930907,0.706732,0.989911,0.945892
0.931177,0.706627,0.989948,0.945931
0.93137,0.706579,0.989975,0.945947
0.931488,0.706722,0.989994,0.945995
0.931499,0.707168,0.990003,0.946015
0.931639,0.707283,0.990027,0.946038
0.931885,0.707523,0.990063,0.946091
0.932122,0.707414,0.990105,0.94613
0.932323,0.707534,0.99014,0.946131
0.932378,0.707551,0.990149,0.946116
0.932668,0.708005,0.990192,0.946165
0.932828,0.708108,0.990215,0.946185
0.933097,0.70825,0.990261,0.946224
0.933199,0.708334,0.990281,0.946209
0.933339,0.708437,0.990304,0.946249
0.933427,0.708422,0.99032,0.946252
0.933632,0.708524,0.990352,0.946268
0.933747,0.708573,0.990368,0.946268
0.933905,0.708498,0.990394,0.946261
0.933993,0.708511,0.990406,0.946256
0.934148,0.708887,0.990431,0.946295
0.934345,0.708759,0.990459,0.946297
0.934483,0.708734,0.990479,0.946296
0.934706,0.708906,0.990518,0.946365
0.934805,0.708921,0.990536,0.94641
0.934957,0.708966,0.990559,0.946441
0.935182,0.708934,0.990592,0.946444
0.935306,0.709003,0.99061,0.946464
0.935368,0.70911,0.990619,0.946462
0.93548,0.709235,0.990637,0.946496
0.935679,0.709425,0.990671,0.946551
0.935797,0.709556,0.990693,0.946582
0.935934,0.709604,0.990719,0.946617
0.936228,0.709912,0.990769,0.946697
0.936334,0.710153,0.99079,0.946742
0.936461,0.710366,0.990812,0.946762
0.936585,0.710352,0.990829,0.946757
0.936687,0.710435,0.990848,0.946782
0.93683,0.710671,0.990875,0.946837
0.936986,0.710747,0.990902,0.946841
0.937072,0.710924,0.990916,0.946855
0.937135,0.710793,0.990924,0.946856
0.937261,0.710977,0.990946,0.946884
0.937438,0.711189,0.990975,0.946913
0.937602,0.711293,0.991003,0.946912
0.937686,0.711298,0.991016,0.94694
0.937907,0.711592,0.991046,0.946959
0.938164,0.711494,0.991085,0.946944
0.938316,0.71162,0.991104,0.946967
0.938445,0.711729,0.991122,0.946973
0.938571,0.711771,0.991147,0.94698
0.938649,0.711877,0.99116,0.947002
0.938747,0.71196,0.991176,0.946992
0.938818,0.711834,0.991192,0.946991
0.939014,0.712006,0.991225,0.947027
0.939098,0.71195,0.991237,0.947037
0.93929,0.712291,0.991266,0.947093
0.939462,0.712431,0.991297,0.947114
0.939599,0.712969,0.991319,0.947168
0.939701,0.712954,0.991339,0.947163
0.939841,0.712899,0.99136,0.947189
0.940008,0.712871,0.99139,0.947204
0.940063,0.712905,0.991399,0.947208
